-1711276030,121634817,12058624
-1711276028,121634818,12058625
-1711276024,121634820,12058626
-1711276016,121634824,12058628
-1711276000,121634832,12058632
-1711275968,121634848,12058640
-1711275904,121634880,12058656
-1711275776,121634944,12058688
-1711275520,121635072,12058752
-1711275008,121635328,12058880
-1711273984,121635840,12059136
-1711271936,121636864,12059648
-1711267840,121638912,12060672
-1711259648,121643008,12062720
-1711243264,121651200,12066816
-1711210496,121667584,12075008
-1711144960,121700352,12091392
-1711013888,121765888,12124160
-1710751744,121896960,12189696
-1710227456,122159104,12320768
-1694498816,130023424,16252928
-1841299454,89128961,3932160
-1841299452,89128962,3932161
-1841299448,89128964,3932162
-1841299440,89128968,3932164
-1841299424,89128976,3932168
-1841299392,89128992,3932176
-1841299328,89129024,3932192
-1841299200,89129088,3932224
-1841298944,89129216,3932288
-1841298432,89129472,3932416
-1841297408,89129984,3932672
-1841295360,89131008,3933184
-1841291264,89133056,3934208
-1841283072,89137152,3936256
-1841266688,89145344,3940352
-1841233920,89161728,3948544
-1841168384,89194496,3964928
-1841037312,89260032,3997696
-1840775168,89391104,4063232
-1824522240,97517568,8126464
-1774190592,122683392,20709376
-1843396606,88604673,3801088
-1843396604,88604674,3801089
-1843396600,88604676,3801090
-1843396592,88604680,3801092
-1843396576,88604688,3801096
-1843396544,88604704,3801104
-1843396480,88604736,3801120
-1843396352,88604800,3801152
-1843396096,88604928,3801216
-1843395584,88605184,3801344
-1843394560,88605696,3801600
-1843392512,88606720,3802112
-1843388416,88608768,3803136
-1843380224,88612864,3805184
-1843363840,88621056,3809280
-1843331072,88637440,3817472
-1843265536,88670208,3833856
-1843134464,88735744,3866624
-1826619392,96993280,7995392
-1776287744,122159104,20578304
-1844445182,88342529,3735552
-1844445180,88342530,3735553
-1844445176,88342532,3735554
-1844445168,88342536,3735556
-1844445152,88342544,3735560
-1844445120,88342560,3735568
-1844445056,88342592,3735584
-1844444928,88342656,3735616
-1844444672,88342784,3735680
-1844444160,88343040,3735808
